entity_id,spline_id,mode,speed,world,area,area_name,creature2_id,client_name,match_status,source_coordinate_id,jabbithole_creature_id,path_distance,runtime_distance,spline_nodes,spline_length,spline_closed,existing_spline,import_action
44413,19788,1,3,22,1402,Wilderrun,38403,Kinesis Probe,unique_name,5810881,7181,2.816822,0.992522,77,521.462875,false,,insert
44416,19788,1,3,22,1402,Wilderrun,38403,Kinesis Probe,unique_name,6047227,7181,0.114908,1.798166,77,521.462875,false,,insert
44420,19788,1,3,22,1402,Wilderrun,38404,Kinesis Drone,unique_name,5586402,7182,1.208292,1.424465,77,521.462875,false,,insert
44426,13352,1,3,22,1402,Wilderrun,38405,Kinesis Exterminator,unique_name,5586089,7180,0.428824,1.037304,14,130.984666,false,13352,skip_existing_same_spline
45597,13348,1,3,22,1402,Wilderrun,40474,Crushstone Titan,unique_name,8423514,29082,0.884770,1.691735,11,71.603899,false,13348,skip_existing_same_spline
45957,13586,1,3,22,1402,Wilderrun,44940,Lumbering Hulker,unique_name,7958607,7834,0.454221,0.664512,24,170.729856,false,13586,skip_existing_same_spline
46055,14583,1,3,22,1403,Fool's Hope,47598,Fool's Hope Warbot Guard,unique_name,3386689,4178,0.465402,0.491504,21,83.324529,false,14583,skip_existing_same_spline
46056,14584,1,3,22,1403,Fool's Hope,47598,Fool's Hope Warbot Guard,unique_name,7630020,4178,0.741071,1.069542,20,65.667793,false,14584,skip_existing_same_spline
46057,14582,1,3,22,1403,Fool's Hope,47598,Fool's Hope Warbot Guard,unique_name,2813426,4178,0.694206,1.564614,24,69.539033,false,14582,skip_existing_same_spline
42409,19598,1,3,22,1404,Fort Vigilance,27505,Warpwood Rootgrabber,unique_name,8290312,1275,1.850474,2.102219,11,127.151806,false,,insert
45589,19598,1,3,22,1404,Fort Vigilance,40380,Field Medic Lutton,scored_name,55030,6954,1.988444,0.932590,11,127.151806,false,,insert
46224,14835,1,3,22,1404,Fort Vigilance,48514,Fort Vigilance Warbot Guard,unique_name,3450722,6944,0.685851,1.055919,22,69.410637,false,14835,skip_existing_same_spline
46225,14836,1,3,22,1404,Fort Vigilance,48514,Fort Vigilance Warbot Guard,unique_name,2016735,6944,0.344907,0.887459,20,58.657919,false,14836,skip_existing_same_spline
42870,19582,1,3,22,1438,Wildfall Commune,27700,Wildfall Warrior,unique_name,8465970,10161,0.329356,0.782864,11,49.980754,false,19582,skip_existing_same_spline
42873,19583,1,3,22,1438,Wildfall Commune,27700,Wildfall Warrior,unique_name,8388485,10161,0.965323,0.650115,11,33.466688,false,,insert
42863,8460,1,3,22,1439,The Gamma Ruins,27698,Wildfall Berserker,unique_name,8097719,10202,0.436824,2.909354,83,969.318354,false,,insert
45998,8460,1,3,22,1439,The Gamma Ruins,45344,Swarming Splorg,scored_name,6494410,12349,1.919383,1.760220,83,969.318354,false,,insert
