evidence_kind,source_map,source_row_id,jabbithole_path_mission_id,path_mission_id,path_mission_name,client_path_mission_name,path_mission_link_status,jabbithole_path_episode_id,path_episode_id,path_episode_name,client_path_episode_name,path_episode_link_status,player_path_id,path_type,mission_type,mission_subtype,related_jabbithole_id,related_client_id,related_source_name,related_client_name,match_status,needed,amount,world_zone_id,world_location_ids,last_seen_in,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
path_episode,path_episode_map.csv,81,,,,,no_path_mission_reference,81,,Murkmire Research,,no_path_episode_reference,4,2,,,81,,Murkmire Research,,unmatched,,,,,4,blocked_path_episode_unmatched_bridge,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,Blocked until a matching current client row or reviewed runtime-owned bridge exists for the mapped DataMapping source row.
path_episode,path_episode_map.csv,82,,,,,no_path_mission_reference,82,,,,no_path_episode_reference,4,2,,,82,,,,unmatched,,,,,4,blocked_path_episode_unmatched_bridge,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,Blocked until a matching current client row or reviewed runtime-owned bridge exists for the mapped DataMapping source row.
path_episode,path_episode_map.csv,83,,,,,no_path_mission_reference,83,,,,no_path_episode_reference,3,3,,,83,,,,unmatched,,,,,4,blocked_path_episode_unmatched_bridge,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,Blocked until a matching current client row or reviewed runtime-owned bridge exists for the mapped DataMapping source row.
path_episode,path_episode_map.csv,89,,,,,no_path_mission_reference,89,,,,no_path_episode_reference,2,1,,,89,,,,unmatched,,,,,4,blocked_path_episode_unmatched_bridge,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,Blocked until a matching current client row or reviewed runtime-owned bridge exists for the mapped DataMapping source row.
path_episode,path_episode_map.csv,90,,,,,no_path_mission_reference,90,,,,no_path_episode_reference,1,0,,,90,,,,unmatched,,,,,4,blocked_path_episode_unmatched_bridge,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,Blocked until a matching current client row or reviewed runtime-owned bridge exists for the mapped DataMapping source row.
path_episode,path_episode_map.csv,2,,,,,no_path_mission_reference,2,8,Securing the Crash Site,Securing the Crash Site,current_path_episode,1,0,,,2,8,Securing the Crash Site,Securing the Crash Site,matched,,,35,,7,implemented_northern_wilds_path_episode_activation_verified,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,"Northern Wilds runtime-owned PathEpisode/PathMission coverage is implemented and focused tests verify activation, objective credit, persistence, reward boundaries, and negative cases; retail_complete still waits for end-to-end client smoke."
path_episode,path_episode_map.csv,14,,,,,no_path_mission_reference,14,9,Mapping Northern Wilds,Mapping Northern Wilds,current_path_episode,3,3,,,14,9,Mapping Northern Wilds,Mapping Northern Wilds,matched,,,35,,7,implemented_northern_wilds_path_episode_activation_verified,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,"Northern Wilds runtime-owned PathEpisode/PathMission coverage is implemented and focused tests verify activation, objective credit, persistence, reward boundaries, and negative cases; retail_complete still waits for end-to-end client smoke."
path_episode,path_episode_map.csv,44,,,,,no_path_mission_reference,44,12,Project Cornerstone: The Exploration of Deradune,Project Cornerstone: The Exploration of Deradune,current_path_episode,3,3,,,44,12,Project Cornerstone: The Exploration of Deradune,Project Cornerstone: The Exploration of Deradune,matched,,,483,,7,mapped_only_path_episode_blocked_runtime_zone_bridge_and_progression_smoke,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,"Mapped-only PathEpisode row is blocked until runtime zone ownership, episode activation/progression sequencing, and client smoke are reviewed."
path_episode,path_episode_map.csv,47,,,,,no_path_mission_reference,47,13,Project Cornerstone: The Conquest of Deradune,Project Cornerstone: The Conquest of Deradune,current_path_episode,1,0,,,47,13,Project Cornerstone: The Conquest of Deradune,Project Cornerstone: The Conquest of Deradune,matched,,,483,,7,mapped_only_path_episode_blocked_runtime_zone_bridge_and_progression_smoke,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,"Mapped-only PathEpisode row is blocked until runtime zone ownership, episode activation/progression sequencing, and client smoke are reviewed."
path_episode,path_episode_map.csv,54,,,,,no_path_mission_reference,54,14,Project Cornerstone: The Taming of Deradune,Project Cornerstone: The Taming of Deradune,current_path_episode,2,1,,,54,14,Project Cornerstone: The Taming of Deradune,Project Cornerstone: The Taming of Deradune,matched,,,483,,7,mapped_only_path_episode_blocked_runtime_zone_bridge_and_progression_smoke,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,"Mapped-only PathEpisode row is blocked until runtime zone ownership, episode activation/progression sequencing, and client smoke are reviewed."
path_episode,path_episode_map.csv,48,,,,,no_path_mission_reference,48,15,Crimson Isle Conquest,Crimson Isle Conquest,current_path_episode,1,0,,,48,15,Crimson Isle Conquest,Crimson Isle Conquest,matched,,,622,,7,mapped_only_path_episode_blocked_runtime_zone_bridge_and_progression_smoke,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,"Mapped-only PathEpisode row is blocked until runtime zone ownership, episode activation/progression sequencing, and client smoke are reviewed."
path_episode,path_episode_map.csv,41,,,,,no_path_mission_reference,41,16,Project Cornerstone: Researching Deradune,Project Cornerstone: Researching Deradune,current_path_episode,4,2,,,41,16,Project Cornerstone: Researching Deradune,Project Cornerstone: Researching Deradune,matched,,,483,,7,mapped_only_path_episode_blocked_runtime_zone_bridge_and_progression_smoke,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,"Mapped-only PathEpisode row is blocked until runtime zone ownership, episode activation/progression sequencing, and client smoke are reviewed."
path_episode,path_episode_map.csv,52,,,,,no_path_mission_reference,52,17,Crimson Isle Exploration,Crimson Isle Exploration,current_path_episode,3,3,,,52,17,Crimson Isle Exploration,Crimson Isle Exploration,matched,,,622,,7,mapped_only_path_episode_blocked_runtime_zone_bridge_and_progression_smoke,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,"Mapped-only PathEpisode row is blocked until runtime zone ownership, episode activation/progression sequencing, and client smoke are reviewed."
path_episode,path_episode_map.csv,73,,,,,no_path_mission_reference,73,18,Crimson Isle Research,Crimson Isle Research,current_path_episode,4,2,,,73,18,Crimson Isle Research,Crimson Isle Research,matched,,,622,,7,mapped_only_path_episode_blocked_runtime_zone_bridge_and_progression_smoke,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,"Mapped-only PathEpisode row is blocked until runtime zone ownership, episode activation/progression sequencing, and client smoke are reviewed."
path_episode,path_episode_map.csv,65,,,,,no_path_mission_reference,65,19,Beachhead,Beachhead,current_path_episode,2,1,,,65,19,Beachhead,Beachhead,matched,,,622,,7,mapped_only_path_episode_blocked_runtime_zone_bridge_and_progression_smoke,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,"Mapped-only PathEpisode row is blocked until runtime zone ownership, episode activation/progression sequencing, and client smoke are reviewed."
path_episode,path_episode_map.csv,66,,,,,no_path_mission_reference,66,28,Cold Science,Cold Science,current_path_episode,4,2,,,66,28,Cold Science,Cold Science,matched,,,35,,7,implemented_northern_wilds_path_episode_activation_verified,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,"Northern Wilds runtime-owned PathEpisode/PathMission coverage is implemented and focused tests verify activation, objective credit, persistence, reward boundaries, and negative cases; retail_complete still waits for end-to-end client smoke."
path_episode,path_episode_map.csv,40,,,,,no_path_mission_reference,40,35,Auroria Research,Auroria Research,current_path_episode,4,2,,,40,35,Auroria Research,Auroria Research,matched,,,36,,7,mapped_only_path_episode_blocked_runtime_zone_bridge_and_progression_smoke,Tools/DataMapping/output/path_episode_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PathEpisode.tbl.sql;Source/NexusForever.Game/Entity/PathManager.cs;Source/NexusForever.Game.Static/PlayerPath,pending,not_retail_complete,"Mapped-only PathEpisode row is blocked until runtime zone ownership, episode activation/progression sequencing, and client smoke are reviewed."
