evidence_kind,script_scope,source_path,source_line,script_owner_ids,source_call,source_symbol,reference_id,reference_link_status,owner_link_status,public_event_id,public_event_name,public_event_world_id,public_event_world_zone_id,public_event_type,public_event_parent_id,objective_type,objective_count,objective_object_id,objective_world_location_id,objective_target_group_id,objective_display_order,objective_text,objective_short_text,enum_namespace,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
script_public_event_objective_reference,script_instance,Source\NexusForever.Script.Instance\Adventure\BayOfBetrayal\BayOfBetrayalEventScript.cs,35,673,ActivateObjective,PublicEventObjective.SurviveTheTrials,4358,client_row_matched,script_owner_matches_objective_public_event,673,Levian Bay Adventure,3176,4593,18,0,5,1,7845,0,0,0,Survive the Trials,Survive the Trials,NexusForever.Script.Instance.Adventure.BayOfBetrayal,script_public_event_objective_parent_event_matched_pending_activation_credit_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent,pending,not_retail_complete,"Scripted public-event objective reference is tracked, but retail completion needs exact activation/update timing, producer semantics, objective credit, phase progression, reward/challenge side effects, and content smoke."
script_public_event_objective_reference,script_instance,Source\NexusForever.Script.Instance\Adventure\BayOfBetrayal\BayOfBetrayalEventScript.cs,48,673,objective_status_gate,PublicEventObjective.SurviveTheTrials,4358,client_row_matched,script_owner_matches_objective_public_event,673,Levian Bay Adventure,3176,4593,18,0,5,1,7845,0,0,0,Survive the Trials,Survive the Trials,NexusForever.Script.Instance.Adventure.BayOfBetrayal,script_public_event_objective_parent_event_matched_pending_activation_credit_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent,pending,not_retail_complete,"Scripted public-event objective reference is tracked, but retail completion needs exact activation/update timing, producer semantics, objective credit, phase progression, reward/challenge side effects, and content smoke."
script_public_event_objective_reference,script_instance,Source\NexusForever.Script.Instance\Adventure\BayOfBetrayal\BayOfBetrayalIntroEventScript.cs,37,672,ActivateObjective,PublicEventObjective.TalkToHeraldAnkumar,4357,client_row_matched,script_owner_matches_objective_public_event,672,The Truth Will Set You Free,3176,4593,11,0,17,0,12392,0,0,0,Talk to $(creature=68376) near the shore,Talk to $(creature=68376),NexusForever.Script.Instance.Adventure.BayOfBetrayal,script_public_event_objective_parent_event_matched_pending_activation_credit_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent,pending,not_retail_complete,"Scripted public-event objective reference is tracked, but retail completion needs exact activation/update timing, producer semantics, objective credit, phase progression, reward/challenge side effects, and content smoke."
script_public_event_objective_reference,script_instance,Source\NexusForever.Script.Instance\Adventure\BayOfBetrayal\BayOfBetrayalIntroEventScript.cs,40,672,ActivateObjective,PublicEventObjective.ListenToHeraldAnkumarSpeech,4563,client_row_matched,script_owner_matches_objective_public_event,672,The Truth Will Set You Free,3176,4593,11,0,13,0,12392,0,0,0,Listen to $p(creature=68376) speech,Listen to $p(creature=68376) speech,NexusForever.Script.Instance.Adventure.BayOfBetrayal,script_public_event_objective_parent_event_matched_pending_activation_credit_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent,pending,not_retail_complete,"Scripted public-event objective reference is tracked, but retail completion needs exact activation/update timing, producer semantics, objective credit, phase progression, reward/challenge side effects, and content smoke."
script_public_event_objective_reference,script_instance,Source\NexusForever.Script.Instance\Adventure\BayOfBetrayal\BayOfBetrayalIntroEventScript.cs,41,672,UpdateObjective,PublicEventObjective.ListenToHeraldAnkumarSpeech,4563,client_row_matched,script_owner_matches_objective_public_event,672,The Truth Will Set You Free,3176,4593,11,0,13,0,12392,0,0,0,Listen to $p(creature=68376) speech,Listen to $p(creature=68376) speech,NexusForever.Script.Instance.Adventure.BayOfBetrayal,script_public_event_objective_parent_event_matched_pending_activation_credit_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent,pending,not_retail_complete,"Scripted public-event objective reference is tracked, but retail completion needs exact activation/update timing, producer semantics, objective credit, phase progression, reward/challenge side effects, and content smoke."
script_public_event_objective_reference,script_instance,Source\NexusForever.Script.Instance\Adventure\BayOfBetrayal\BayOfBetrayalIntroEventScript.cs,44,672,ActivateObjective,PublicEventObjective.ProtectHeraldAnkumar,4564,client_row_matched,script_owner_matches_objective_public_event,672,The Truth Will Set You Free,3176,4593,11,0,20,0,12392,0,0,0,Protect $(creature=68376),Protect $(creature=68376),NexusForever.Script.Instance.Adventure.BayOfBetrayal,script_public_event_objective_parent_event_matched_pending_activation_credit_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent,pending,not_retail_complete,"Scripted public-event objective reference is tracked, but retail completion needs exact activation/update timing, producer semantics, objective credit, phase progression, reward/challenge side effects, and content smoke."
script_public_event_objective_reference,script_instance,Source\NexusForever.Script.Instance\Adventure\BayOfBetrayal\BayOfBetrayalIntroEventScript.cs,59,672,switch_case,PublicEventObjective.TalkToHeraldAnkumar,4357,client_row_matched,script_owner_matches_objective_public_event,672,The Truth Will Set You Free,3176,4593,11,0,17,0,12392,0,0,0,Talk to $(creature=68376) near the shore,Talk to $(creature=68376),NexusForever.Script.Instance.Adventure.BayOfBetrayal,script_public_event_objective_parent_event_matched_pending_activation_credit_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent,pending,not_retail_complete,"Scripted public-event objective reference is tracked, but retail completion needs exact activation/update timing, producer semantics, objective credit, phase progression, reward/challenge side effects, and content smoke."
script_public_event_objective_reference,script_instance,Source\NexusForever.Script.Instance\Adventure\BayOfBetrayal\BayOfBetrayalIntroEventScript.cs,62,672,switch_case,PublicEventObjective.ListenToHeraldAnkumarSpeech,4563,client_row_matched,script_owner_matches_objective_public_event,672,The Truth Will Set You Free,3176,4593,11,0,13,0,12392,0,0,0,Listen to $p(creature=68376) speech,Listen to $p(creature=68376) speech,NexusForever.Script.Instance.Adventure.BayOfBetrayal,script_public_event_objective_parent_event_matched_pending_activation_credit_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent,pending,not_retail_complete,"Scripted public-event objective reference is tracked, but retail completion needs exact activation/update timing, producer semantics, objective credit, phase progression, reward/challenge side effects, and content smoke."
script_public_event_objective_reference,script_instance,Source\NexusForever.Script.Instance\Adventure\BayOfBetrayal\BayOfBetrayalIntroEventScript.cs,65,672,switch_case,PublicEventObjective.ProtectHeraldAnkumar,4564,client_row_matched,script_owner_matches_objective_public_event,672,The Truth Will Set You Free,3176,4593,11,0,20,0,12392,0,0,0,Protect $(creature=68376),Protect $(creature=68376),NexusForever.Script.Instance.Adventure.BayOfBetrayal,script_public_event_objective_parent_event_matched_pending_activation_credit_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent,pending,not_retail_complete,"Scripted public-event objective reference is tracked, but retail completion needs exact activation/update timing, producer semantics, objective credit, phase progression, reward/challenge side effects, and content smoke."
script_public_event_objective_reference,script_instance,Source\NexusForever.Script.Instance\Adventure\CrimelordsOfWhitevale\CrimelordsOfWhitevaleEventScript.cs,40,146,ActivateObjective,PublicEventObjective.GetOnYourHoverbike,309,client_row_matched,script_owner_matches_objective_public_event,146,Crimelords of Whitevale,1323,137,12,0,9,0,0,18019,0,0,Get on your Hoverbike,Mount up,NexusForever.Script.Instance.Adventure.CrimelordsOfWhitevale,script_public_event_objective_parent_event_matched_pending_activation_credit_smoke,Source/NexusForever.Script.Main;Source/NexusForever.Script.Instance;wildstar_client_mysql/PublicEvent.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent,pending,not_retail_complete,"Scripted public-event objective reference is tracked, but retail completion needs exact activation/update timing, producer semantics, objective credit, phase progression, reward/challenge side effects, and content smoke."
