evidence_kind,source_map,source_row_id,public_event_id,public_event_name,public_event_link_status,public_event_type,linked_public_event_ids,linked_public_event_names,linked_public_event_objective_ids,objective_type,objective_object_id,script_references,evidence_status,evidence_sources,manual_validation,completion_status,related_creature2_id,related_creature_name,related_item2_id,related_item_name,related_virtual_item_id,related_virtual_item_name,related_spell4_id,related_spell_name,reward_property_id,data,offset,flags,stat_index,duration_ms,option_count,opposing_source_row_id,blocker_summary
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,1,,,type_or_object_scoped,3,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,Masks Placed,,,0,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,2,,,type_or_object_scoped,3,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,Masks Stolen,,,1,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,3,,,type_or_object_scoped,4,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,Secondary Control Points Captured,,,0,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,4,,,type_or_object_scoped,5,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,Resources Picked Up,,,0,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,5,,,type_or_object_scoped,5,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,Resources Deposited,,,1,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,6,,,type_or_object_scoped,6,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,Uplink Activated,,,0,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,7,,,type_or_object_scoped,6,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,Bombs Placed,,,1,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,8,,,type_or_object_scoped,7,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,Resources Collected,,,0,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,11,,,type_or_object_scoped,0,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,,,,0,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,12,,,type_or_object_scoped,7,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,Lost Caravan Members Rescued,,,1,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,13,,,type_or_object_scoped,7,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,Camp Fires Extinguished,,,2,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,14,,,type_or_object_scoped,7,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,Grismaran Flux Victims Cured,,,3,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,15,,,type_or_object_scoped,7,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,Gorgefly Swarms Dispersed,,,4,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
public_event_custom_stat,client_source_publiceventcustomstat_map.csv,16,,,type_or_object_scoped,9,,,,,,,runtime_public_event_custom_stat_type_scoped_scoreboard_dependency_tested_pending_stat_producer_smoke,Tools/DataMapping/output/client_source_publiceventcustomstat_map.csv;Tools/DataMapping/map_wildstar_data.py;wildstar_client_mysql/PublicEvent*.tbl.sql;wildstar_client_mysql/PublicEventObjective.tbl.sql;Source/NexusForever.Game/PublicEvent;Source/NexusForever.Script.Instance,pending,not_retail_complete,,,,,,,,,,Activated Fuel Cells,,,0,,,,"Public-event custom stat table dependencies are runtime-backed for event-specific and type-scoped rows, including sparse StatIndex validation and scoreboard aggregation. Retail completion still needs per-event stat producer semantics, scoreboard presentation smoke, end-screen ranking, and event smoke."
