quest_id,title,quest_bucket,quest_completion_status,dependency_type,achievement_id,achievement_title,achievement_description,achievement_progress_text,achievement_type_id,achievement_category_id,achievement_flags,world_zone_id,source_field,object_id,object_id_alt,value,character_title_id,prerequisite_id,prerequisite_id_server,prerequisite_id_objective,prerequisite_id_objective_alt,achievement_id_parent_tier,checklist_id,checklist_bit,checklist_object_id,checklist_object_id_alt,checklist_prerequisite_id,checklist_prerequisite_id_alt,evidence_status,evidence_sources,manual_validation,completion_status,blocker_summary
5040,Brain Dump,generic_table_driven,not_retail_complete,achievement_checklist,1059,Episode Completion: Friend or Freebot,You completed the Friend or Freebot episode,Complete the Friend or Freebot episode,6,186,0,137,AchievementChecklist.objectId,0,0,0,0,19,19,0,0,0,641,2,5040,0,0,0,client_achievement_checklist_row_pending_progression_hook_smoke,wildstar_client_mysql/Achievement.tbl.sql;wildstar_client_mysql/AchievementChecklist.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Achievement;Source/NexusForever.Script.Main,pending,not_retail_complete,"AchievementChecklist 641 links Achievement 1059 (Episode Completion: Friend or Freebot) type 6 category 186 flags 0 worldZone 137 progress text 'Complete the Friend or Freebot episode' to bit 2, objectId 5040, objectIdAlt 0, and Quest2 5040 through AchievementChecklist.objectId, prerequisites 19;19. Retail completion needs quest progression hook ownership, duplicate checklist behavior, parent-tier/title/reward behavior, achievement persistence, and client achievement UI smoke."
5054,Peculiar Flora,generic_table_driven,not_retail_complete,achievement_checklist,1060,Episode Completion: The Alchemist's Experiments,You completed the Alchemist's Experiments episode,Complete the Alchemist's Experiments episode,6,186,0,137,AchievementChecklist.objectId,0,0,0,0,19,19,0,0,0,642,0,5054,0,0,0,client_achievement_checklist_row_pending_progression_hook_smoke,wildstar_client_mysql/Achievement.tbl.sql;wildstar_client_mysql/AchievementChecklist.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Achievement;Source/NexusForever.Script.Main,pending,not_retail_complete,"AchievementChecklist 642 links Achievement 1060 (Episode Completion: The Alchemist's Experiments) type 6 category 186 flags 0 worldZone 137 progress text 'Complete the Alchemist's Experiments episode' to bit 0, objectId 5054, objectIdAlt 0, and Quest2 5054 through AchievementChecklist.objectId, prerequisites 19;19. Retail completion needs quest progression hook ownership, duplicate checklist behavior, parent-tier/title/reward behavior, achievement persistence, and client achievement UI smoke."
5056,Obligatory Volunteers,generic_table_driven,not_retail_complete,achievement_checklist,1060,Episode Completion: The Alchemist's Experiments,You completed the Alchemist's Experiments episode,Complete the Alchemist's Experiments episode,6,186,0,137,AchievementChecklist.objectId,0,0,0,0,19,19,0,0,0,643,1,5056,0,0,0,client_achievement_checklist_row_pending_progression_hook_smoke,wildstar_client_mysql/Achievement.tbl.sql;wildstar_client_mysql/AchievementChecklist.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Achievement;Source/NexusForever.Script.Main,pending,not_retail_complete,"AchievementChecklist 643 links Achievement 1060 (Episode Completion: The Alchemist's Experiments) type 6 category 186 flags 0 worldZone 137 progress text 'Complete the Alchemist's Experiments episode' to bit 1, objectId 5056, objectIdAlt 0, and Quest2 5056 through AchievementChecklist.objectId, prerequisites 19;19. Retail completion needs quest progression hook ownership, duplicate checklist behavior, parent-tier/title/reward behavior, achievement persistence, and client achievement UI smoke."
5057,Some Testing Required,generic_table_driven,not_retail_complete,achievement_checklist,1060,Episode Completion: The Alchemist's Experiments,You completed the Alchemist's Experiments episode,Complete the Alchemist's Experiments episode,6,186,0,137,AchievementChecklist.objectId,0,0,0,0,19,19,0,0,0,644,2,5057,0,0,0,client_achievement_checklist_row_pending_progression_hook_smoke,wildstar_client_mysql/Achievement.tbl.sql;wildstar_client_mysql/AchievementChecklist.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Achievement;Source/NexusForever.Script.Main,pending,not_retail_complete,"AchievementChecklist 644 links Achievement 1060 (Episode Completion: The Alchemist's Experiments) type 6 category 186 flags 0 worldZone 137 progress text 'Complete the Alchemist's Experiments episode' to bit 2, objectId 5057, objectIdAlt 0, and Quest2 5057 through AchievementChecklist.objectId, prerequisites 19;19. Retail completion needs quest progression hook ownership, duplicate checklist behavior, parent-tier/title/reward behavior, achievement persistence, and client achievement UI smoke."
5108,High Level Infiltration,generic_table_driven,not_retail_complete,achievement_checklist,1061,Episode Completion: I Spy the ICI,You have completed the I Spy the ICI episode,Complete the I Spy the ICI episode,6,186,0,137,AchievementChecklist.objectId,0,0,0,0,19,19,0,0,0,645,0,5108,0,0,0,client_achievement_checklist_row_pending_progression_hook_smoke,wildstar_client_mysql/Achievement.tbl.sql;wildstar_client_mysql/AchievementChecklist.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Achievement;Source/NexusForever.Script.Main,pending,not_retail_complete,"AchievementChecklist 645 links Achievement 1061 (Episode Completion: I Spy the ICI) type 6 category 186 flags 0 worldZone 137 progress text 'Complete the I Spy the ICI episode' to bit 0, objectId 5108, objectIdAlt 0, and Quest2 5108 through AchievementChecklist.objectId, prerequisites 19;19. Retail completion needs quest progression hook ownership, duplicate checklist behavior, parent-tier/title/reward behavior, achievement persistence, and client achievement UI smoke."
5107,Unsafe Working Conditions,generic_table_driven,not_retail_complete,achievement_checklist,1061,Episode Completion: I Spy the ICI,You have completed the I Spy the ICI episode,Complete the I Spy the ICI episode,6,186,0,137,AchievementChecklist.objectId,0,0,0,0,19,19,0,0,0,646,1,5107,0,0,0,client_achievement_checklist_row_pending_progression_hook_smoke,wildstar_client_mysql/Achievement.tbl.sql;wildstar_client_mysql/AchievementChecklist.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Achievement;Source/NexusForever.Script.Main,pending,not_retail_complete,"AchievementChecklist 646 links Achievement 1061 (Episode Completion: I Spy the ICI) type 6 category 186 flags 0 worldZone 137 progress text 'Complete the I Spy the ICI episode' to bit 1, objectId 5107, objectIdAlt 0, and Quest2 5107 through AchievementChecklist.objectId, prerequisites 19;19. Retail completion needs quest progression hook ownership, duplicate checklist behavior, parent-tier/title/reward behavior, achievement persistence, and client achievement UI smoke."
5109,No More Questions,generic_table_driven,not_retail_complete,achievement_checklist,1061,Episode Completion: I Spy the ICI,You have completed the I Spy the ICI episode,Complete the I Spy the ICI episode,6,186,0,137,AchievementChecklist.objectId,0,0,0,0,19,19,0,0,0,647,2,5109,0,0,0,client_achievement_checklist_row_pending_progression_hook_smoke,wildstar_client_mysql/Achievement.tbl.sql;wildstar_client_mysql/AchievementChecklist.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Achievement;Source/NexusForever.Script.Main,pending,not_retail_complete,"AchievementChecklist 647 links Achievement 1061 (Episode Completion: I Spy the ICI) type 6 category 186 flags 0 worldZone 137 progress text 'Complete the I Spy the ICI episode' to bit 2, objectId 5109, objectIdAlt 0, and Quest2 5109 through AchievementChecklist.objectId, prerequisites 19;19. Retail completion needs quest progression hook ownership, duplicate checklist behavior, parent-tier/title/reward behavior, achievement persistence, and client achievement UI smoke."
5110,Charge the Explosives to 11,generic_table_driven,not_retail_complete,achievement_checklist,1061,Episode Completion: I Spy the ICI,You have completed the I Spy the ICI episode,Complete the I Spy the ICI episode,6,186,0,137,AchievementChecklist.objectId,0,0,0,0,19,19,0,0,0,648,3,5110,0,0,0,client_achievement_checklist_row_pending_progression_hook_smoke,wildstar_client_mysql/Achievement.tbl.sql;wildstar_client_mysql/AchievementChecklist.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Achievement;Source/NexusForever.Script.Main,pending,not_retail_complete,"AchievementChecklist 648 links Achievement 1061 (Episode Completion: I Spy the ICI) type 6 category 186 flags 0 worldZone 137 progress text 'Complete the I Spy the ICI episode' to bit 3, objectId 5110, objectIdAlt 0, and Quest2 5110 through AchievementChecklist.objectId, prerequisites 19;19. Retail completion needs quest progression hook ownership, duplicate checklist behavior, parent-tier/title/reward behavior, achievement persistence, and client achievement UI smoke."
5111,Striking at the Snake,generic_table_driven,not_retail_complete,achievement_checklist,1061,Episode Completion: I Spy the ICI,You have completed the I Spy the ICI episode,Complete the I Spy the ICI episode,6,186,0,137,AchievementChecklist.objectId,0,0,0,0,19,19,0,0,0,649,5,5111,0,0,0,client_achievement_checklist_row_pending_progression_hook_smoke,wildstar_client_mysql/Achievement.tbl.sql;wildstar_client_mysql/AchievementChecklist.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Achievement;Source/NexusForever.Script.Main,pending,not_retail_complete,"AchievementChecklist 649 links Achievement 1061 (Episode Completion: I Spy the ICI) type 6 category 186 flags 0 worldZone 137 progress text 'Complete the I Spy the ICI episode' to bit 5, objectId 5111, objectIdAlt 0, and Quest2 5111 through AchievementChecklist.objectId, prerequisites 19;19. Retail completion needs quest progression hook ownership, duplicate checklist behavior, parent-tier/title/reward behavior, achievement persistence, and client achievement UI smoke."
5112,Escape from Junction Snowshadow,generic_table_driven,not_retail_complete,achievement_checklist,1061,Episode Completion: I Spy the ICI,You have completed the I Spy the ICI episode,Complete the I Spy the ICI episode,6,186,0,137,AchievementChecklist.objectId,0,0,0,0,19,19,0,0,0,650,6,5112,0,0,0,client_achievement_checklist_row_pending_progression_hook_smoke,wildstar_client_mysql/Achievement.tbl.sql;wildstar_client_mysql/AchievementChecklist.tbl.sql;wildstar_client_mysql/Quest2.tbl.sql;Source/NexusForever.Game/Achievement;Source/NexusForever.Script.Main,pending,not_retail_complete,"AchievementChecklist 650 links Achievement 1061 (Episode Completion: I Spy the ICI) type 6 category 186 flags 0 worldZone 137 progress text 'Complete the I Spy the ICI episode' to bit 6, objectId 5112, objectIdAlt 0, and Quest2 5112 through AchievementChecklist.objectId, prerequisites 19;19. Retail completion needs quest progression hook ownership, duplicate checklist behavior, parent-tier/title/reward behavior, achievement persistence, and client achievement UI smoke."
